"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"21421","53.080216","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-34 dBm","6"
"21430","53.106476","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-36 dBm","6"
"21431","53.106479","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-34 dBm","6"
"21432","53.106484","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-34 dBm","6"
"21434","53.106489","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-36 dBm","6"
"21441","53.121339","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"21472","53.227984","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21529","53.433897","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21554","53.536286","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"21582","53.637527","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"21609","53.709537","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-33 dBm","6"
"21610","53.709541","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-33 dBm","6"
"21611","53.709546","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-33 dBm","6"
"21612","53.709549","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-35 dBm","6"
"21627","53.736086","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"21654","53.840867","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"21691","53.941359","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"21730","54.043604","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"21765","54.146228","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21796","54.249585","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"21838","54.352704","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"21880","54.454205","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21913","54.554888","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21943","54.658241","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"21971","54.765115","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"22008","54.866394","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"22047","54.964934","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"22083","55.071261","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"22092","55.108407","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-36 dBm","6"
"22093","55.108414","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-36 dBm","6"
"22094","55.108507","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-36 dBm","6"
"22095","55.108512","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-38 dBm","6"
"22108","55.152978","Commscope_23:24:6c","7e:6d:68:ce:37:21","802.11","387","-38 dBm","6"
"22109","55.154022","Commscope_23:24:6c","7e:6d:68:ce:37:21","802.11","387","-38 dBm","6"
"22110","55.154027","Commscope_23:24:6c","7e:6d:68:ce:37:21","802.11","387","-37 dBm","6"
"22111","55.155190","Commscope_23:24:6c","7e:6d:68:ce:37:21","802.11","387","-37 dBm","6"
"22116","55.173822","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22121","55.174153","Commscope_23:24:6c","7e:6d:68:ce:37:21","802.11","387","-35 dBm","6"
"22122","55.174156","Commscope_23:24:6c","7e:6d:68:ce:37:21","802.11","387","-36 dBm","6"
"22123","55.175219","Commscope_23:24:6c","7e:6d:68:ce:37:21","802.11","387","-37 dBm","6"
"22124","55.175223","Commscope_23:24:6c","7e:6d:68:ce:37:21","802.11","387","-35 dBm","6"
"22148","55.276193","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"22159","55.296688","Commscope_23:24:6c","b2:b6:87:09:34:14","802.11","387","-37 dBm","6"
"22162","55.296702","Commscope_23:24:6c","b2:b6:87:09:34:14","802.11","387","-35 dBm","6"
"22163","55.296707","Commscope_23:24:6c","b2:b6:87:09:34:14","802.11","387","-35 dBm","6"
"22164","55.296710","Commscope_23:24:6c","b2:b6:87:09:34:14","802.11","387","-35 dBm","6"
"22182","55.319060","Commscope_23:24:6c","b2:b6:87:09:34:14","802.11","387","-36 dBm","6"
"22183","55.319065","Commscope_23:24:6c","b2:b6:87:09:34:14","802.11","387","-35 dBm","6"
"22184","55.319068","Commscope_23:24:6c","b2:b6:87:09:34:14","802.11","387","-36 dBm","6"
"22185","55.319753","Commscope_23:24:6c","b2:b6:87:09:34:14","802.11","387","-35 dBm","6"
"22231","55.478843","Commscope_23:24:6c","Broadcast","802.11","287","-38 dBm","6.5"
"22255","55.581838","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"22303","55.684038","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"22355","55.784501","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"22389","55.893643","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"22432","55.991131","Commscope_23:24:6c","Broadcast","802.11","287","0 dBm","6.5"
