"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"743","3.418414","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=1401, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"764","3.520976","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=1405, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"785","3.578885","1e:9d:72:6d:c4:11","RaspberryPiF_25:c8:2e","802.11","516","-12 dBm","Probe Response, SN=1409, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"786","3.579606","1e:9d:72:6d:c4:11","RaspberryPiF_25:c8:2e","802.11","516","-12 dBm","Probe Response, SN=1409, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"787","3.580560","1e:9d:72:6d:c4:11","RaspberryPiF_25:c8:2e","802.11","516","-12 dBm","Probe Response, SN=1409, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"788","3.581575","1e:9d:72:6d:c4:11","RaspberryPiF_25:c8:2e","802.11","516","-12 dBm","Probe Response, SN=1409, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"799","3.624628","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-13 dBm","Beacon frame, SN=1410, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"822","3.725614","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-12 dBm","Beacon frame, SN=1418, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"842","3.828013","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1423, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"863","3.930462","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1427, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"885","4.032844","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-14 dBm","Beacon frame, SN=1431, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"910","4.137397","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1435, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"928","4.237665","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-16 dBm","Beacon frame, SN=1439, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"953","4.340026","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1443, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"976","4.442398","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-15 dBm","Beacon frame, SN=1447, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
