"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"4513","12.383394","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-24 dBm"
"4514","12.383401","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-24 dBm"
"4515","12.383491","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-24 dBm"
"4516","12.384167","Commscope_23:24:6c","VantivaUSA_3c:54:73","802.11","387","-24 dBm"
"4532","12.422266","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"4572","12.524077","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4607","12.627079","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4648","12.732146","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"4651","12.738314","Commscope_23:24:6c","VantivaUSA_bb:04:d1","802.11","387","-26 dBm"
"4652","12.738320","Commscope_23:24:6c","VantivaUSA_bb:04:d1","802.11","387","-26 dBm"
"4653","12.739528","Commscope_23:24:6c","VantivaUSA_bb:04:d1","802.11","387","-25 dBm"
"4694","12.832828","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"4709","12.869140","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-26 dBm"
"4710","12.869147","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-28 dBm"
"4711","12.869150","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-25 dBm"
"4712","12.870283","Commscope_23:24:6c","VantivaUSA_3f:b1:bd","802.11","387","-25 dBm"
"4743","12.934170","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4747","12.946586","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-25 dBm"
"4749","12.946597","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-26 dBm"
"4750","12.946600","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-25 dBm"
"4751","12.947426","Commscope_23:24:6c","VantivaUSA_f2:df:8c","802.11","387","-25 dBm"
"4786","13.036678","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4829","13.138442","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4865","13.244207","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"4903","13.347124","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4932","13.445693","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"4980","13.549833","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"5091","13.856065","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5128","13.958920","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"5163","14.060601","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"5196","14.167886","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"5228","14.267022","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"5266","14.373395","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5308","14.469841","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"5364","14.573207","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5400","14.681247","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"5431","14.779213","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5464","14.882231","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5494","14.982682","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5527","15.085076","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5565","15.188659","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5605","15.288889","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5633","15.393645","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5671","15.500026","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"5707","15.596635","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5714","15.619558","Commscope_23:24:6c","d2:4e:0b:94:c7:3b","802.11","387","-25 dBm"
"5715","15.621922","Commscope_23:24:6c","d2:4e:0b:94:c7:3b","802.11","387","-25 dBm"
"5716","15.622267","Commscope_23:24:6c","d2:4e:0b:94:c7:3b","802.11","387","-26 dBm"
"5717","15.622273","Commscope_23:24:6c","d2:4e:0b:94:c7:3b","802.11","387","-25 dBm"
"5750","15.700449","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"5798","15.802883","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"5830","15.907356","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5865","16.005718","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
"5901","16.108917","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm"
