"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Data rate"
"15123","37.978515","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15158","38.081789","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"15200","38.185041","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"15235","38.285655","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15276","38.388221","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"15311","38.490201","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15348","38.593749","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15378","38.694550","Commscope_23:24:6c","Broadcast","802.11","287","-35 dBm","6.5"
"15406","38.790861","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-33 dBm","6"
"15407","38.790865","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-32 dBm","6"
"15408","38.790869","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-35 dBm","6"
"15409","38.790955","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-33 dBm","6"
"15417","38.796665","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15469","38.903065","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15505","39.008231","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15537","39.106706","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15608","39.206158","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15625","39.258505","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-35 dBm","6"
"15626","39.258510","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-35 dBm","6"
"15627","39.260042","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-35 dBm","6"
"15628","39.260046","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-33 dBm","6"
"15647","39.297023","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-33 dBm","6"
"15648","39.299689","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-35 dBm","6"
"15649","39.299695","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-35 dBm","6"
"15650","39.299698","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-32 dBm","6"
"15654","39.311939","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15657","39.319246","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-35 dBm","6"
"15658","39.319250","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-32 dBm","6"
"15659","39.320403","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-33 dBm","6"
"15660","39.320407","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-35 dBm","6"
"15682","39.413964","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"15684","39.426168","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-33 dBm","6"
"15685","39.426172","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-33 dBm","6"
"15686","39.426176","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-33 dBm","6"
"15687","39.426179","Commscope_23:24:6c","NestLabs_90:13:f4","802.11","387","-33 dBm","6"
"15725","39.518196","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"15760","39.617361","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"15801","39.719834","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"15824","39.822771","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"15851","39.925804","Commscope_23:24:6c","Broadcast","802.11","287","-36 dBm","6.5"
"15912","40.026043","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"15970","40.111894","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-34 dBm","6"
"15971","40.111899","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-34 dBm","6"
"15972","40.113267","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-33 dBm","6"
"15973","40.113270","Commscope_23:24:6c","VantivaUSA_da:e6:14","802.11","387","-32 dBm","6"
"15993","40.128110","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"16036","40.231349","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"16076","40.333582","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"16128","40.441260","Commscope_23:24:6c","Broadcast","802.11","287","-37 dBm","6.5"
"16216","40.644284","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"16253","40.746620","Commscope_23:24:6c","Broadcast","802.11","287","-33 dBm","6.5"
"16321","40.946987","Commscope_23:24:6c","Broadcast","802.11","287","-34 dBm","6.5"
"16362","41.050508","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"16415","41.155562","Commscope_23:24:6c","Broadcast","802.11","287","-32 dBm","6.5"
"16465","41.255286","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"16500","41.359617","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"16536","41.460222","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"16577","41.562209","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"16676","41.767324","Commscope_23:24:6c","Broadcast","802.11","287","-31 dBm","6.5"
"16710","41.871677","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm","6.5"
"16755","41.973904","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"16816","42.074387","Commscope_23:24:6c","Broadcast","802.11","287","-28 dBm","6.5"
"16848","42.160352","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-27 dBm","6"
"16849","42.160354","Commscope_23:24:6c","VantivaUSA_c5:dd:3d","802.11","387","-30 dBm","6"
