"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)"
"4774","11.970085","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4811","12.074209","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4850","12.181130","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"4940","12.481168","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4962","12.588851","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"4974","12.610339","Commscope_23:24:6c","VantivaUSA_c4:3e:1a","802.11","387","-24 dBm"
"4975","12.611584","Commscope_23:24:6c","VantivaUSA_c4:3e:1a","802.11","387","-23 dBm"
"4976","12.613096","Commscope_23:24:6c","VantivaUSA_c4:3e:1a","802.11","387","-22 dBm"
"4977","12.613101","Commscope_23:24:6c","VantivaUSA_c4:3e:1a","802.11","387","-23 dBm"
"5026","12.788478","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5070","12.891807","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5108","12.993558","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5148","13.099913","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5193","13.198290","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5239","13.300561","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5254","13.343750","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-24 dBm"
"5255","13.343755","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-24 dBm"
"5256","13.343759","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-24 dBm"
"5257","13.344763","Commscope_23:24:6c","VantivaUSA_e6:e2:80","802.11","387","-24 dBm"
"5282","13.409049","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5321","13.505370","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5357","13.609026","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5383","13.715001","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"5417","13.812628","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"5439","13.884636","Commscope_23:24:6c","VantivaUSA_fe:94:cd","802.11","387","-21 dBm"
"5440","13.885978","Commscope_23:24:6c","VantivaUSA_fe:94:cd","802.11","387","-21 dBm"
"5441","13.885980","Commscope_23:24:6c","VantivaUSA_fe:94:cd","802.11","387","-21 dBm"
"5442","13.888289","Commscope_23:24:6c","VantivaUSA_fe:94:cd","802.11","387","-21 dBm"
"5458","13.918955","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"5487","14.022158","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5502","14.063010","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-24 dBm"
"5503","14.063016","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-25 dBm"
"5504","14.063020","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-25 dBm"
"5505","14.063025","Commscope_23:24:6c","VantivaUSA_21:c1:b7","802.11","387","-24 dBm"
"5535","14.143916","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5565","14.222259","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5601","14.326932","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"5633","14.426912","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"5672","14.531887","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"5749","14.734464","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"5790","14.839069","Commscope_23:24:6c","Broadcast","802.11","287","-21 dBm"
"5792","14.841720","Commscope_23:24:6c","VantivaUSA_d0:97:64","802.11","387","-23 dBm"
"5793","14.841724","Commscope_23:24:6c","VantivaUSA_d0:97:64","802.11","387","-24 dBm"
"5824","14.945203","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5856","15.047604","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"5887","15.150906","Commscope_23:24:6c","Broadcast","802.11","287","-30 dBm"
"5926","15.248092","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"5981","15.349558","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6014","15.452174","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6042","15.553964","Commscope_23:24:6c","Broadcast","802.11","287","-23 dBm"
"6063","15.656477","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6132","15.757942","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6186","15.861733","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6223","15.968644","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6300","16.071915","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6369","16.171699","Commscope_23:24:6c","Broadcast","802.11","287","-27 dBm"
"6421","16.271884","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6484","16.374247","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6529","16.477110","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"6570","16.578452","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6597","16.680875","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6631","16.783647","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6665","16.890382","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6705","16.989120","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6744","17.089805","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"6745","17.089807","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-24 dBm"
"6746","17.091402","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-24 dBm"
"6747","17.091405","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-25 dBm"
"6749","17.092578","Commscope_23:24:6c","Commscope_71:86:02","802.11","387","-24 dBm"
"6793","17.194930","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6822","17.293790","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6842","17.396518","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6876","17.500528","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"6913","17.601460","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"7258","18.628108","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7291","18.730840","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7318","18.833248","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7359","18.938469","Commscope_23:24:6c","Broadcast","802.11","287","-26 dBm"
"7411","19.040863","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"7475","19.139629","Commscope_23:24:6c","Broadcast","802.11","287","-24 dBm"
"7514","19.242067","Commscope_23:24:6c","Broadcast","802.11","287","-22 dBm"
"7548","19.342063","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
"7580","19.447537","Commscope_23:24:6c","Broadcast","802.11","287","-25 dBm"
