"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"10317","42.864595","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-29 dBm","Probe Response, SN=3790, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10319","42.867604","1e:9d:72:6d:c4:11","VantivaUSA_8d:49:90","802.11","516","-28 dBm","Probe Response, SN=3790, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10322","42.913363","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3791, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10347","43.015808","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3795, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10361","43.057945","1e:9d:72:6d:c4:11","ca:c0:73:37:f9:e4","802.11","516","-29 dBm","Probe Response, SN=3800, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10362","43.061020","1e:9d:72:6d:c4:11","ca:c0:73:37:f9:e4","802.11","516","-28 dBm","Probe Response, SN=3800, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10368","43.076234","1e:9d:72:6d:c4:11","ca:c0:73:37:f9:e4","802.11","516","-29 dBm","Probe Response, SN=3801, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10397","43.220575","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3806, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10419","43.323053","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3810, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10452","43.425659","9a:c0:3a:dc:20:ae","Broadcast","802.11","193","-63 dBm","Probe Request, SN=3970, FN=0, Flags=........C, SSID=""MahjFi""","""MahjFi""","1"
"10453","43.426285","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3814, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10482","43.527717","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3818, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10503","43.630249","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3822, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10524","43.732566","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-29 dBm","Beacon frame, SN=3826, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"10549","43.834926","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=3830, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
