"No.","Time","Source","Destination","Protocol","Length","Signal strength (dBm)","Info","SSID","Data rate (Mb/s)"
"28327","93.104341","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-24 dBm","Beacon frame, SN=2475, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28350","93.206581","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-25 dBm","Beacon frame, SN=2479, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28379","93.308946","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-26 dBm","Beacon frame, SN=2484, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28406","93.411660","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2488, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28434","93.514142","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2492, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28455","93.616167","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2496, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28476","93.718495","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-27 dBm","Beacon frame, SN=2500, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28512","93.821017","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-28 dBm","Beacon frame, SN=2504, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28566","94.025835","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-25 dBm","Beacon frame, SN=2512, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28578","94.053117","1e:9d:72:6d:c4:11","VantivaUSA_41:bd:ea","802.11","516","-25 dBm","Probe Response, SN=2518, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28579","94.053866","1e:9d:72:6d:c4:11","VantivaUSA_41:bd:ea","802.11","516","-26 dBm","Probe Response, SN=2518, FN=0, Flags=....R...C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
"28593","94.128333","1e:9d:72:6d:c4:11","Broadcast","802.11","408","-25 dBm","Beacon frame, SN=2519, FN=0, Flags=........C, BI=100, SSID=""MahjFi""","""MahjFi""","6"
